name,stamp,id,latitude,longitude,altitude,q.x,q.y,q.z,q.w,use_time,learn_start_lat,learn_start_lon,learn_start_alt,learn_start_qx,learn_start_qy,learn_start_qz,learn_start_qw,entrypoint_lat,entrypoint_lon,entrypoint_alt,entrypoint_qx,entrypoint_qy,entrypoint_qz,entrypoint_qw,
map1_2023-12-22-10-24-42.bin,1703211882,1,31.12684086,121.56054101,14.60900020599365,0,0,-0.6377425789833069,0.7702495455741882,0,31.12705217601473,121.5612529899356,6.236316459824597,-0.001263386569917202,-0.0004095933400094509,-0.6447942852973938,0.7643550634384155,31.12698457,121.5611623,6.202000141143801,0,0,-0.06949727237224579,0.9975821375846863,
map2_2023-12-22-11-14-10.bin,1703214850,2,31.1169848,121.56668739,12.58699989318848,0,0,-0.9902467131614685,0.1393251419067383,0,31.11677844995701,121.5665439145207,10.61530909100475,-0.001530576264485717,0.0004221776325721294,-0.996224582195282,0.08679956942796707,31.11681889,121.56656474,10.60000038146973,0,0,0.910843551158905,0.4127518236637115,
map3_2023-12-22-13-21-28.bin,1703222488,3,31.122257,121.55596434,15.08399963378906,0,0,0.02641039341688156,0.9996511936187744,0,31.12256783209955,121.556202522078,10.92355611203311,-0.002407597843557596,0.002035969402641058,-0.9999950528144836,0.0001446737296646461,31.12262693,121.55614194,10.88099956512451,0,0,-0.7331912517547607,0.6800224781036377,
map4_2023-12-28-15-53-47.bin,1703750027,4,31.07762698000001,121.51846867,16.51499938964844,0,0,0.8166570663452148,0.5771232843399048,0,31.07736714607209,121.5175520098856,10.9102767298111,-0.0001513748720753938,-0.002312544966116548,0.8147373795509338,0.5798256397247314,31.07741696000001,121.51768635,11.03400039672852,0,0,0.8069731593132019,0.5905880928039551,
map5_2023-12-26-10-1-45.bin,1703556105,5,31.12286204,121.49370896,14.27200031280518,0,0,-0.5613999366760254,0.827544629573822,0,31.12263829104857,121.4945342261941,3.063999891281128,-0.001876609865576029,-0.001281426171772182,-0.990257203578949,0.1392319053411484,31.12280502,121.49457787,3.119999885559082,0,0,-0.9167988300323486,0.3993492722511292,
map6_2023-12-27-16-30-41.bin,1703665841,6,31.12115072,121.49516281,13.52799987792969,0,0,0.9648700356483459,0.262727677822113,0,31.12105257076361,121.4941994642496,3.187442770125926,-0.0001313194807153195,0.008587260730564594,0.1454863548278809,0.9893230199813843,31.12097484,121.49484215,11.82400035858154,0,0,0.8254132866859436,0.5645288825035095,
map7_2023-12-26-16-23-27.bin,1703579007,7,31.12115372000001,121.49516027,13.61400032043457,0,0,0.9706822633743286,0.2403661906719208,0,31.12136291623445,121.4940977617369,3.20199990272522,-0.005837660282850266,0.001696411403827369,0.1521889567375183,0.9883327484130859,31.1209104,121.49422693,3.644000053405762,0,0,0.2108095735311508,0.9775271415710449,
map8_2023-12-26-17-43-5.bin,1703583785,8,31.09482800000001,121.52629231,15.94200038909912,0,0,-0.4175933301448822,0.9086340069770813,0,31.0947930636424,121.5268670828016,9.270999908447269,-0.001454783487133682,0.002626670757308602,0.8346565961837769,0.5507625937461853,31.09501398,121.52685758,9.319999694824222,0,0,-0.6316677331924438,0.7752392292022705,
map9_2023-12-28-14-21-24.bin,1703744484,9,31.081112,121.50593094,13.34099960327148,0,0,-0.7418665885925293,0.6705474853515625,0,31.08095554731539,121.5059143532671,11.15198667900404,0.002859569620341063,-0.001916905282996595,0.04187098145484924,0.9991171360015869,31.08090114000001,121.50593397,11.10799980163574,0,0,0.436579167842865,0.8996658325195313,
